,Name,Season,Tag,Team,Salary,role,bat_type,bowl_type,nationality,player2,team,bowl_type2
1953,James Faulkner,2011,,Pune Warriors India,"46,00,000",Allrounder,Right Handed Bat,fast-medium,Australia,James Faulkner,2011-Pune Warriors India,Pace
1952,James Faulkner,2012,,Punjab Kings,"15,08,100",Allrounder,Right Handed Bat,fast-medium,Australia,James Faulkner,2012-Punjab Kings,Pace
1951,James Faulkner,2013,,Rajasthan Royals,"2,13,08,000",Allrounder,Right Handed Bat,fast-medium,Australia,James Faulkner,2013-Rajasthan Royals,Pace
1950,James Faulkner,2014,,Rajasthan Royals,"9,50,00,000",Allrounder,Right Handed Bat,fast-medium,Australia,James Faulkner,2014-Rajasthan Royals,Pace
1949,James Faulkner,2015,,Rajasthan Royals,"9,50,00,000",Allrounder,Right Handed Bat,fast-medium,Australia,James Faulkner,2015-Rajasthan Royals,Pace
1948,James Faulkner,2016,,Gujarat Lions,"5,10,00,000",Allrounder,Right Handed Bat,fast-medium,Australia,James Faulkner,2016-Gujarat Lions,Pace
1947,James Faulkner,2017,,Gujarat Lions,"7,50,00,000",Allrounder,Right Handed Bat,fast-medium,Australia,James Faulkner,2017-Gujarat Lions,Pace
3084,Prithvi Raj Yara,2019,,Kolkata Knight Riders,"20,00,000",Bowler,Left Handed Bat,Left Arm Bowler,India,Prithvi Raj Yara,2019-Kolkata Knight Riders,Pace
3083,Harry Gurney,2019,,Kolkata Knight Riders,"75,00,000",Bowler,Right Handed Bat,Left Arm Fast Medium Bowler,England,Harry Gurney,2019-Kolkata Knight Riders,Pace
3082,Harry Gurney,2020,Ruled,Kolkata Knight Riders,"75,00,000",Bowler,Right Handed Bat,Left Arm Fast Medium Bowler,England,Harry Gurney,2020-Kolkata Knight Riders,Pace
3242,Yash Dayal,2022,,Gujarat Titans,"3,20,00,000",Bowler,Left Handed Bat,Left arm medium fast,India,Yash Dayal,2022-Gujarat Titans,Pace
3291,Kumar Kartikeya Singh,2022,,Mumbai Indians,"20,00,000",Bowler,Right Handed Bat,Left Arm Orthodox,India,Kumar Kartikeya Singh,2022-Mumbai Indians,Spin
3288,Noor Ahmad,2022,,Gujarat Titans,"30,00,000",Bowler,Right Handed Bat,Left arm wrist spin,Afghanistan,Noor Ahmad,2022-Gujarat Titans,Spin
3255,Aneeshwar Gautam,2022,,Royal Challengers Bangalore,"20,00,000",Bowler,Left Handed Bat,left-arm,India,Aneeshwar Gautam,2022-Royal Challengers Bangalore,Pace
2085,Kuldeep Yadav,2012,,Mumbai Indians,"10,00,000",Bowler,Left Handed Bat,left-arm chinaman,India,Kuldeep Yadav,2012-Mumbai Indians,Spin
2084,Kuldeep Yadav,2014,,Kolkata Knight Riders,"40,00,000",Bowler,Left Handed Bat,left-arm chinaman,India,Kuldeep Yadav,2014-Kolkata Knight Riders,Spin
2083,Kuldeep Yadav,2015,,Kolkata Knight Riders,"40,00,000",Bowler,Left Handed Bat,left-arm chinaman,India,Kuldeep Yadav,2015-Kolkata Knight Riders,Spin
2082,Kuldeep Yadav,2016,,Kolkata Knight Riders,"40,00,000",Bowler,Left Handed Bat,left-arm chinaman,India,Kuldeep Yadav,2016-Kolkata Knight Riders,Spin
2081,Kuldeep Yadav,2017,,Kolkata Knight Riders,"40,00,000",Bowler,Left Handed Bat,left-arm chinaman,India,Kuldeep Yadav,2017-Kolkata Knight Riders,Spin
2080,Kuldeep Yadav,2018,,Kolkata Knight Riders,"5,80,00,000",Bowler,Left Handed Bat,left-arm chinaman,India,Kuldeep Yadav,2018-Kolkata Knight Riders,Spin
2079,Kuldeep Yadav,2019,Retain,Kolkata Knight Riders,"5,80,00,000",Bowler,Left Handed Bat,left-arm chinaman,India,Kuldeep Yadav,2019-Kolkata Knight Riders,Spin
2078,Kuldeep Yadav,2020,Retain,Kolkata Knight Riders,"5,80,00,000",Bowler,Left Handed Bat,left-arm chinaman,India,Kuldeep Yadav,2020-Kolkata Knight Riders,Spin
2077,Kuldeep Yadav,2021,,Kolkata Knight Riders,"5,80,00,000",Bowler,Left Handed Bat,left-arm chinaman,India,Kuldeep Yadav,2021-Kolkata Knight Riders,Spin
2076,Kuldeep Yadav,2022,,Delhi Capitals,"2,00,00,000",Bowler,Left Handed Bat,left-arm chinaman,India,Kuldeep Yadav,2022-Delhi Capitals,Spin
2096,Mitchell Johnson,2012,,Mumbai Indians,"1,50,81,000",Bowler,Left Handed Bat,Left-arm fast,Australia,Mitchell Johnson,2012-Mumbai Indians,Pace
2095,Mitchell Johnson,2013,,Mumbai Indians,"1,59,81,000",Bowler,Left Handed Bat,Left-arm fast,Australia,Mitchell Johnson,2013-Mumbai Indians,Pace
2094,Mitchell Johnson,2014,,Punjab Kings,"6,50,00,000",Bowler,Left Handed Bat,Left-arm fast,Australia,Mitchell Johnson,2014-Punjab Kings,Pace
2485,Mitchell Starc,2014,,Royal Challengers Bangalore,"5,00,00,000",Bowler,Left Handed Bat,Left-arm fast,Australia,Mitchell Starc,2014-Royal Challengers Bangalore,Pace
2093,Mitchell Johnson,2015,,Punjab Kings,"6,50,00,000",Bowler,Left Handed Bat,Left-arm fast,Australia,Mitchell Johnson,2015-Punjab Kings,Pace
2484,Mitchell Starc,2015,,Royal Challengers Bangalore,"5,00,00,000",Bowler,Left Handed Bat,Left-arm fast,Australia,Mitchell Starc,2015-Royal Challengers Bangalore,Pace
2092,Mitchell Johnson,2016,,Punjab Kings,"6,50,00,000",Bowler,Left Handed Bat,Left-arm fast,Australia,Mitchell Johnson,2016-Punjab Kings,Pace
2483,Mitchell Starc,2016,Injured,Royal Challengers Bangalore,"5,00,00,000",Bowler,Left Handed Bat,Left-arm fast,Australia,Mitchell Starc,2016-Royal Challengers Bangalore,Pace
2091,Mitchell Johnson,2017,,Mumbai Indians,"2,00,00,000",Bowler,Left Handed Bat,Left-arm fast,Australia,Mitchell Johnson,2017-Mumbai Indians,Pace
2482,Mitchell Starc,2017,,Royal Challengers Bangalore,"5,00,00,000",Bowler,Left Handed Bat,Left-arm fast,Australia,Mitchell Starc,2017-Royal Challengers Bangalore,Pace
2090,Mitchell Johnson,2018,,Kolkata Knight Riders,"2,00,00,000",Bowler,Left Handed Bat,Left-arm fast,Australia,Mitchell Johnson,2018-Kolkata Knight Riders,Pace
2481,Mitchell Starc,2018,Injured,Kolkata Knight Riders,NA,Bowler,Left Handed Bat,Left-arm fast,Australia,Mitchell Starc,2018-Kolkata Knight Riders,Pace
1218,Dirk Nannes,2009,,Delhi Daredevils,"14,73,600",Bowler,Right Handed Bat,Left-arm fast,Australia,Dirk Nannes,2009-Delhi Daredevils,Pace
1217,Dirk Nannes,2010,,Delhi Daredevils,"13,88,700",Bowler,Right Handed Bat,Left-arm fast,Australia,Dirk Nannes,2010-Delhi Daredevils,Pace
1216,Dirk Nannes,2011,,Royal Challengers Bangalore,"2,99,00,000",Bowler,Right Handed Bat,Left-arm fast,Australia,Dirk Nannes,2011-Royal Challengers Bangalore,Pace
1215,Dirk Nannes,2012,,Royal Challengers Bangalore,"3,26,75,500",Bowler,Right Handed Bat,Left-arm fast,Australia,Dirk Nannes,2012-Royal Challengers Bangalore,Pace
1214,Dirk Nannes,2013,,Chennai Super Kings,"3,19,62,000",Bowler,Right Handed Bat,Left-arm fast,Australia,Dirk Nannes,2013-Chennai Super Kings,Pace
2861,Tymal Mills,2017,,Royal Challengers Bangalore,"12,00,00,000",Bowler,Right Handed Bat,Left-arm fast,England,Tymal Mills,2017-Royal Challengers Bangalore,Pace
2860,Tymal Mills,2022,,Mumbai Indians,"1,50,00,000",Bowler,Right Handed Bat,Left-arm fast,England,Tymal Mills,2022-Mumbai Indians,Pace
3235,Dominic Drakes,2022,,Gujarat Titans,"1,10,00,000",Bowler,Left Handed Bat,Left-arm fast-medium,West Indies,Dominic Drakes,2022-Gujarat Titans,Pace
3247,Obed McCoy,2022,,Rajasthan Royals,"75,00,000",Bowler,Left Handed Bat,Left-arm fast-medium,West Indies,Obed McCoy,2022-Rajasthan Royals,Pace
1062,Chaminda Vaas,2008,,Deccan Chargers,"80,32,000",Allrounder,Left Handed Bat,Left-arm fast-medium,Sri Lanka,Chaminda Vaas,2008-Deccan Chargers,Pace
1094,Nuwan Zoysa,2008,,Deccan Chargers,"44,17,600",Bowler,Left Handed Bat,Left-arm fast-medium,Sri Lanka,Nuwan Zoysa,2008-Deccan Chargers,Pace
1109,T Tushara,2009,,Chennai Super Kings,"68,76,800",Bowler,Left Handed Bat,Left-arm fast-medium,Sri Lanka,T Tushara,2009-Chennai Super Kings,Pace
1061,Chaminda Vaas,2009,,Deccan Chargers,"98,24,000",Allrounder,Left Handed Bat,Left-arm fast-medium,Sri Lanka,Chaminda Vaas,2009-Deccan Chargers,Pace
1093,Nuwan Zoysa,2009,,Deccan Chargers,"54,03,200",Bowler,Left Handed Bat,Left-arm fast-medium,Sri Lanka,Nuwan Zoysa,2009-Deccan Chargers,Pace
1182,Yusuf Abdulla,2009,,Kings XI Punjab,"24,56,000",Bowler,Left Handed Bat,Left-arm fast-medium,South Africa,Yusuf Abdulla,2009-Kings XI Punjab,Pace
1108,T Tushara,2010,,Chennai Super Kings,"64,80,600",Bowler,Left Handed Bat,Left-arm fast-medium,Sri Lanka,T Tushara,2010-Chennai Super Kings,Pace
1441,Doug Bollinger,2010,,Chennai Super Kings,"92,58,000",Bowler,Left Handed Bat,Left-arm fast-medium,Australia,Doug Bollinger,2010-Chennai Super Kings,Pace
1060,Chaminda Vaas,2010,,Deccan Chargers,"92,58,000",Allrounder,Left Handed Bat,Left-arm fast-medium,Sri Lanka,Chaminda Vaas,2010-Deccan Chargers,Pace
1181,Yusuf Abdulla,2010,,Kings XI Punjab,"23,14,500",Bowler,Left Handed Bat,Left-arm fast-medium,South Africa,Yusuf Abdulla,2010-Kings XI Punjab,Pace
1440,Doug Bollinger,2011,,Chennai Super Kings,"3,22,00,000",Bowler,Left Handed Bat,Left-arm fast-medium,Australia,Doug Bollinger,2011-Chennai Super Kings,Pace
1439,Doug Bollinger,2012,,Chennai Super Kings,"3,51,89,000",Bowler,Left Handed Bat,Left-arm fast-medium,Australia,Doug Bollinger,2012-Chennai Super Kings,Pace
2411,Beuran Hendricks,2014,,Kings XI Punjab,"1,80,00,000",Bowler,Left Handed Bat,Left-arm fast-medium,South Africa,Beuran Hendricks,2014-Kings XI Punjab,Pace
2410,Beuran Hendricks,2015,,Kings XI Punjab,"1,80,00,000",Bowler,Left Handed Bat,Left-arm fast-medium,South Africa,Beuran Hendricks,2015-Kings XI Punjab,Pace
2552,MItchell McClenaghan,2015,,Mumbai Indians,"30,00,000",Bowler,Left Handed Bat,Left-arm fast-medium,New Zealand,MItchell McClenaghan,2015-Mumbai Indians,Pace
2703,Joel Paris,2016,,Delhi Daredevils,"30,00,000",Bowler,Left Handed Bat,Left-arm fast-medium,Australia,Joel Paris,2016-Delhi Daredevils,Pace
2551,MItchell McClenaghan,2016,,Mumbai Indians,"30,00,000",Bowler,Left Handed Bat,Left-arm fast-medium,New Zealand,MItchell McClenaghan,2016-Mumbai Indians,Pace
2748,Mustafizur Rahman,2016,,Sunrisers Hyderabad,"1,40,00,000",Bowler,Left Handed Bat,Left-arm fast-medium,Bangladesh,Mustafizur Rahman,2016-Sunrisers Hyderabad,Pace
2550,MItchell McClenaghan,2017,,Mumbai Indians,"30,00,000",Bowler,Left Handed Bat,Left-arm fast-medium,New Zealand,MItchell McClenaghan,2017-Mumbai Indians,Pace
2747,Mustafizur Rahman,2017,,Sunrisers Hyderabad,"1,40,00,000",Bowler,Left Handed Bat,Left-arm fast-medium,Bangladesh,Mustafizur Rahman,2017-Sunrisers Hyderabad,Pace
3017,David Willey,2018,Replacement,Chennai Super Kings,"2,00,00,000",Allrounder,Left Handed Bat,Left-arm fast-medium,England,David Willey,2018-Chennai Super Kings,Pace
2549,MItchell McClenaghan,2018,Replacement,Mumbai Indians,"1,00,00,000",Bowler,Left Handed Bat,Left-arm fast-medium,New Zealand,MItchell McClenaghan,2018-Mumbai Indians,Pace
2746,Mustafizur Rahman,2018,,Mumbai Indians,"2,20,00,000",Bowler,Left Handed Bat,Left-arm fast-medium,Bangladesh,Mustafizur Rahman,2018-Mumbai Indians,Pace
2934,Ben Dwarshuis,2018,,Punjab Kings,"1,40,00,000",Bowler,Left Handed Bat,Left-arm fast-medium,Australia,Ben Dwarshuis,2018-Punjab Kings,Pace
3016,David Willey,2019,Retain,Chennai Super Kings,"2,00,00,000",Allrounder,Left Handed Bat,Left-arm fast-medium,England,David Willey,2019-Chennai Super Kings,Pace
2548,MItchell McClenaghan,2019,Retain,Mumbai Indians,"1,00,00,000",Bowler,Left Handed Bat,Left-arm fast-medium,New Zealand,MItchell McClenaghan,2019-Mumbai Indians,Pace
2547,MItchell McClenaghan,2020,Retain,Mumbai Indians,"1,00,00,000",Bowler,Left Handed Bat,Left-arm fast-medium,New Zealand,MItchell McClenaghan,2020-Mumbai Indians,Pace
2933,Ben Dwarshuis,2021,Replace,Delhi Capitals,NA,Bowler,Left Handed Bat,Left-arm fast-medium,Australia,Ben Dwarshuis,2021-Delhi Capitals,Pace
2745,Mustafizur Rahman,2021,,Rajasthan Royals,"1,00,00,000",Bowler,Left Handed Bat,Left-arm fast-medium,Bangladesh,Mustafizur Rahman,2021-Rajasthan Royals,Pace
2744,Mustafizur Rahman,2022,,Delhi Capitals,"2,00,00,000",Bowler,Left Handed Bat,Left-arm fast-medium,Bangladesh,Mustafizur Rahman,2022-Delhi Capitals,Pace
3015,David Willey,2022,,Royal Challengers Bangalore,"2,00,00,000",Allrounder,Left Handed Bat,Left-arm fast-medium,England,David Willey,2022-Royal Challengers Bangalore,Pace
3268,Fazalhaq Farooqi,2022,,Sunrisers Hyderabad,"50,00,000",Bowler,Right Handed Bat,Left-arm fast-medium,Afghanistan,Fazalhaq Farooqi,2022-Sunrisers Hyderabad,Pace
1042,R.P.Singh,2008,,Deccan Chargers,"3,50,00,000",Bowler,Right Handed Bat,Left-arm fast-medium,India,R.P.Singh,2008-Deccan Chargers,Pace
938,Zaheer Khan,2008,,Royal Challengers Bangalore,"1,80,00,000",Bowler,Right Handed Bat,Left-arm fast-medium,India,Zaheer Khan,2008-Royal Challengers Bangalore,Pace
1007,Nathan Bracken,2008,,Royal Challengers Bangalore,"1,30,52,000",Bowler,Right Handed Bat,Left-arm fast-medium,Australia,Nathan Bracken,2008-Royal Challengers Bangalore,Pace
1041,R.P.Singh,2009,,Deccan Chargers,"3,50,00,000",Bowler,Right Handed Bat,Left-arm fast-medium,India,R.P.Singh,2009-Deccan Chargers,Pace
937,Zaheer Khan,2009,Transfer,Mumbai Indians,"1,80,00,000",Bowler,Right Handed Bat,Left-arm fast-medium,India,Zaheer Khan,2009-Mumbai Indians,Pace
1006,Nathan Bracken,2009,,Royal Challengers Bangalore,"1,59,64,000",Bowler,Right Handed Bat,Left-arm fast-medium,Australia,Nathan Bracken,2009-Royal Challengers Bangalore,Pace
1040,R.P.Singh,2010,,Deccan Chargers,"3,50,00,000",Bowler,Right Handed Bat,Left-arm fast-medium,India,R.P.Singh,2010-Deccan Chargers,Pace
1506,Shalabh Srivastava,2010,,Kings XI Punjab,"8,00,000",Bowler,Right Handed Bat,Left-arm fast-medium,India,Shalabh Srivastava,2010-Kings XI Punjab,Pace
936,Zaheer Khan,2010,,Mumbai Indians,"1,80,00,000",Bowler,Right Handed Bat,Left-arm fast-medium,India,Zaheer Khan,2010-Mumbai Indians,Pace
1505,Shalabh Srivastava,2011,,Kings XI Punjab,"30,00,000",Bowler,Right Handed Bat,Left-arm fast-medium,India,Shalabh Srivastava,2011-Kings XI Punjab,Pace
1039,R.P.Singh,2011,,Kochi Tuskers Kerala,"2,30,00,000",Bowler,Right Handed Bat,Left-arm fast-medium,India,R.P.Singh,2011-Kochi Tuskers Kerala,Pace
935,Zaheer Khan,2011,,Royal Challengers Bangalore,"4,14,00,000",Bowler,Right Handed Bat,Left-arm fast-medium,India,Zaheer Khan,2011-Royal Challengers Bangalore,Pace
1504,Shalabh Srivastava,2012,,Kings XI Punjab,"30,00,000",Bowler,Right Handed Bat,Left-arm fast-medium,India,Shalabh Srivastava,2012-Kings XI Punjab,Pace
1038,R.P.Singh,2012,,Mumbai Indians,"2,76,00,000",Bowler,Right Handed Bat,Left-arm fast-medium,India,R.P.Singh,2012-Mumbai Indians,Pace
934,Zaheer Khan,2012,,Royal Challengers Bangalore,"4,14,00,000",Bowler,Right Handed Bat,Left-arm fast-medium,India,Zaheer Khan,2012-Royal Challengers Bangalore,Pace
933,Zaheer Khan,2013,,Royal Challengers Bangalore,"4,14,00,000",Bowler,Right Handed Bat,Left-arm fast-medium,India,Zaheer Khan,2013-Royal Challengers Bangalore,Pace
1037,R.P.Singh,2013,,Royal Challengers Bangalore,"1,84,00,000",Bowler,Right Handed Bat,Left-arm fast-medium,India,R.P.Singh,2013-Royal Challengers Bangalore,Pace
932,Zaheer Khan,2014,Injured,Mumbai Indians,"2,60,00,000",Bowler,Right Handed Bat,Left-arm fast-medium,India,Zaheer Khan,2014-Mumbai Indians,Pace
931,Zaheer Khan,2015,,Delhi Daredevils,"4,00,00,000",Bowler,Right Handed Bat,Left-arm fast-medium,India,Zaheer Khan,2015-Delhi Daredevils,Pace
2635,Trent Boult,2015,,Sunrisers Hyderabad,"3,80,00,000",Bowler,Right Handed Bat,Left-arm fast-medium,New Zealand,Trent Boult,2015-Sunrisers Hyderabad,Pace
930,Zaheer Khan,2016,,Delhi Daredevils,"4,00,00,000",Bowler,Right Handed Bat,Left-arm fast-medium,India,Zaheer Khan,2016-Delhi Daredevils,Pace
1036,R.P.Singh,2016,,Rising Pune Supergiant,"30,00,000",Bowler,Right Handed Bat,Left-arm fast-medium,India,R.P.Singh,2016-Rising Pune Supergiant,Pace
2634,Trent Boult,2016,,Sunrisers Hyderabad,"3,80,00,000",Bowler,Right Handed Bat,Left-arm fast-medium,New Zealand,Trent Boult,2016-Sunrisers Hyderabad,Pace
929,Zaheer Khan,2017,,Delhi Daredevils,"4,00,00,000",Bowler,Right Handed Bat,Left-arm fast-medium,India,Zaheer Khan,2017-Delhi Daredevils,Pace
2633,Trent Boult,2017,,Kolkata Knight Riders,"5,00,00,000",Bowler,Right Handed Bat,Left-arm fast-medium,New Zealand,Trent Boult,2017-Kolkata Knight Riders,Pace
2632,Trent Boult,2018,,Delhi Daredevils,"2,20,00,000",Bowler,Right Handed Bat,Left-arm fast-medium,New Zealand,Trent Boult,2018-Delhi Daredevils,Pace
2958,Jason Behrendorff,2018,Injured,Mumbai Indians,NA,Bowler,Right Handed Bat,Left-arm fast-medium,Australia,Jason Behrendorff,2018-Mumbai Indians,Pace
2631,Trent Boult,2019,Retain,Delhi Daredevils,"2,20,00,000",Bowler,Right Handed Bat,Left-arm fast-medium,New Zealand,Trent Boult,2019-Delhi Daredevils,Pace
2957,Jason Behrendorff,2019,Retain,Mumbai Indians,"1,00,00,000",Bowler,Right Handed Bat,Left-arm fast-medium,Australia,Jason Behrendorff,2019-Mumbai Indians,Pace
3121,Sheldon Cottrell,2020,,Kings XI Punjab,"8,50,00,000",Bowler,Right Handed Bat,Left-arm fast-medium,West Indies,Sheldon Cottrell,2020-Kings XI Punjab,Pace
2630,Trent Boult,2020,Transfer,Mumbai Indians,"3,20,00,000",Bowler,Right Handed Bat,Left-arm fast-medium,New Zealand,Trent Boult,2020-Mumbai Indians,Pace
2629,Trent Boult,2021,,Mumbai Indians,"3,20,00,000",Bowler,Right Handed Bat,Left-arm fast-medium,New Zealand,Trent Boult,2021-Mumbai Indians,Pace
2628,Trent Boult,2022,,Rajasthan Royals,"8,00,00,000",Bowler,Right Handed Bat,Left-arm fast-medium,New Zealand,Trent Boult,2022-Rajasthan Royals,Pace
2956,Jason Behrendorff,2022,,Royal Challengers Bangalore,"75,00,000",Bowler,Right Handed Bat,Left-arm fast-medium,Australia,Jason Behrendorff,2022-Royal Challengers Bangalore,Pace
3168,Daniel Sams,2020,Repalcements,Delhi Daredevils,"1,50,00,000",All-rounder,Right Handed Bat,Left-arm fast-medium,Australia,Daniel Sams,2020-Delhi Daredevils,Pace
3167,Daniel Sams,2021,,Royal Challengers Bangalore,"1,50,00,000",All-rounder,Right Handed Bat,Left-arm fast-medium,Australia,Daniel Sams,2021-Royal Challengers Bangalore,Pace
3114,R. Sai Kishore,2020,,Chennai Super Kings,"20,00,000",Bowler,Left Handed Bat,Left-Arm Leg Spin Bowler,India,R. Sai Kishore,2020-Chennai Super Kings,Spin
3113,R. Sai Kishore,2021,,Chennai Super Kings,"20,00,000",Bowler,Left Handed Bat,Left-Arm Leg Spin Bowler,India,R. Sai Kishore,2021-Chennai Super Kings,Spin
3112,R. Sai Kishore,2022,,Gujarat Titans,"3,00,00,000",Bowler,Left Handed Bat,Left-Arm Leg Spin Bowler,India,R. Sai Kishore,2022-Gujarat Titans,Spin
3287,Luvnith Sissodia,2022,,Royal Challengers Bangalore,"20,00,000",Wicket Keeper,Left Handed Bat,Left-arm medium,India,Luvnith Sissodia,2022-Royal Challengers Bangalore,Pace
3251,Mukesh Choudhary,2022,,Chennai Super Kings,"20,00,000",Bowler,Left Handed Bat,Left-arm medium,India,Mukesh Choudhary,2022-Chennai Super Kings,Pace
1272,Ra Shaikh,2009,,Mumbai Indians,"8,00,000",Bowler,Left Handed Bat,Left-arm medium,India,Ra Shaikh,2009-Mumbai Indians,Pace
1130,La Carseldine,2009,,Rajasthan Royals,"14,73,600",Allrounder,Left Handed Bat,Left-arm medium,Australia,La Carseldine,2009-Rajasthan Royals,Pace
1310,Rangaraj Suthesh,2009,,Royal Challengers Bangalore,"8,00,000",Bowler,Left Handed Bat,Left-arm medium,India,Rangaraj Suthesh,2009-Royal Challengers Bangalore,Pace
1481,Amit Uniyal,2010,,Rajasthan Royals,"8,00,000",Bowler,Left Handed Bat,Left-arm medium,India,Amit Uniyal,2010-Rajasthan Royals,Pace
1808,James Franklin,2011,,Mumbai Indians,"46,00,000",Allrounder,Left Handed Bat,Left-arm medium,New Zealand,James Franklin,2011-Mumbai Indians,Pace
1793,Aiden Blizzard,2011,,Mumbai Indians,"9,20,000",Batsman,Left Handed Bat,Left-arm medium,Australia,Aiden Blizzard,2011-Mumbai Indians,Pace
1708,Samad Fallah,2011,,Rajasthan Royals,"20,00,000",Bowler,Left Handed Bat,Left-arm medium,India,Samad Fallah,2011-Rajasthan Royals,Pace
2154,Tekkami Atchuta Rao,2012,,Deccan Chargers,"8,00,000",Bowler,Left Handed Bat,Left-arm medium,India,Tekkami Atchuta Rao,2012-Deccan Chargers,Pace
1807,James Franklin,2012,,Mumbai Indians,"50,27,000",Allrounder,Left Handed Bat,Left-arm medium,New Zealand,James Franklin,2012-Mumbai Indians,Pace
1792,Aiden Blizzard,2012,,Mumbai Indians,"10,05,400",Batsman,Left Handed Bat,Left-arm medium,Australia,Aiden Blizzard,2012-Mumbai Indians,Pace
1707,Samad Fallah,2012,,Rajasthan Royals,"20,00,000",Bowler,Left Handed Bat,Left-arm medium,India,Samad Fallah,2012-Rajasthan Royals,Pace
2280,Royston Dias,2013,,Delhi Daredevils,"10,00,000",Bowler,Left Handed Bat,Left-arm medium,India,Royston Dias,2013-Delhi Daredevils,Pace
1806,James Franklin,2013,,Mumbai Indians,"53,27,000",Allrounder,Left Handed Bat,Left-arm medium,New Zealand,James Franklin,2013-Mumbai Indians,Pace
1791,Aiden Blizzard,2013,,Mumbai Indians,"10,65,400",Batsman,Left Handed Bat,Left-arm medium,Australia,Aiden Blizzard,2013-Mumbai Indians,Pace
2472,Krishmar Santokie,2014,,Mumbai Indians,"30,00,000",Bowler,Left Handed Bat,Left-arm medium,West Indies,Krishmar Santokie,2014-Mumbai Indians,Pace
2498,Chama Milind,2014,,Sunrisers Hyderabad,"10,00,000",Bowler,Left Handed Bat,Left-arm medium,India,Chama Milind,2014-Sunrisers Hyderabad,Pace
1790,Aiden Blizzard,2015,,Mumbai Indians,"30,00,000",Batsman,Left Handed Bat,Left-arm medium,Australia,Aiden Blizzard,2015-Mumbai Indians,Pace
2516,Barinder Sran,2015,,Rajasthan Royals,"10,00,000",Bowler,Left Handed Bat,Left-arm medium,India,Barinder Sran,2015-Rajasthan Royals,Pace
2497,Chama Milind,2015,,Sunrisers Hyderabad,"10,00,000",Bowler,Left Handed Bat,Left-arm medium,India,Chama Milind,2015-Sunrisers Hyderabad,Pace
2496,Chama Milind,2016,,Delhi Daredevils,"10,00,000",Bowler,Left Handed Bat,Left-arm medium,India,Chama Milind,2016-Delhi Daredevils,Pace
2515,Barinder Sran,2016,,Sunrisers Hyderabad,"1,20,00,000",Bowler,Left Handed Bat,Left-arm medium,India,Barinder Sran,2016-Sunrisers Hyderabad,Pace
2495,Chama Milind,2017,,Delhi Daredevils,"10,00,000",Bowler,Left Handed Bat,Left-arm medium,India,Chama Milind,2017-Delhi Daredevils,Pace
2801,T Natarajan,2017,,Kings XI Punjab,"3,00,00,000",Bowler,Left Handed Bat,Left-arm medium,India,T Natarajan,2017-Kings XI Punjab,Pace
2514,Barinder Sran,2017,,Sunrisers Hyderabad,"1,20,00,000",Bowler,Left Handed Bat,Left-arm medium,India,Barinder Sran,2017-Sunrisers Hyderabad,Pace
2513,Barinder Sran,2018,,Kings XI Punjab,"2,20,00,000",Bowler,Left Handed Bat,Left-arm medium,India,Barinder Sran,2018-Kings XI Punjab,Pace
2800,T Natarajan,2018,,Sunrisers Hyderabad,"40,00,000",Bowler,Left Handed Bat,Left-arm medium,India,T Natarajan,2018-Sunrisers Hyderabad,Pace
2512,Barinder Sran,2019,,Mumbai Indians,"3,40,00,000",Bowler,Left Handed Bat,Left-arm medium,India,Barinder Sran,2019-Mumbai Indians,Pace
2799,T Natarajan,2019,Retain,Sunrisers Hyderabad,"40,00,000",Bowler,Left Handed Bat,Left-arm medium,India,T Natarajan,2019-Sunrisers Hyderabad,Pace
2798,T Natarajan,2020,Retain,Sunrisers Hyderabad,"40,00,000",Bowler,Left Handed Bat,Left-arm medium,India,T Natarajan,2020-Sunrisers Hyderabad,Pace
2797,T Natarajan,2021,,Sunrisers Hyderabad,"40,00,000",Bowler,Left Handed Bat,Left-arm medium,India,T Natarajan,2021-Sunrisers Hyderabad,Pace
2494,Chama Milind,2022,,Royal Challengers Bangalore,"25,00,000",Bowler,Left Handed Bat,Left-arm medium,India,Chama Milind,2022-Royal Challengers Bangalore,Pace
2796,T Natarajan,2022,,Sunrisers Hyderabad,"4,00,00,000",Bowler,Left Handed Bat,Left-arm medium,India,T Natarajan,2022-Sunrisers Hyderabad,Pace
522,Pradeep Sangwan,2008,,Delhi Daredevils,"12,00,000",Bowler,Right Handed Bat,Left-arm medium,India,Pradeep Sangwan,2008-Delhi Daredevils,Pace
521,Pradeep Sangwan,2009,,Delhi Daredevils,"12,00,000",Bowler,Right Handed Bat,Left-arm medium,India,Pradeep Sangwan,2009-Delhi Daredevils,Pace
1373,Jitendra Patil,2009,,Royal Challengers Bangalore,"6,00,000",Bowler,Right Handed Bat,Left-arm medium,India,Jitendra Patil,2009-Royal Challengers Bangalore,Pace
520,Pradeep Sangwan,2010,,Delhi Daredevils,"12,00,000",Bowler,Right Handed Bat,Left-arm medium,India,Pradeep Sangwan,2010-Delhi Daredevils,Pace
519,Pradeep Sangwan,2011,,Kolkata Knight Riders,"20,00,000",Bowler,Right Handed Bat,Left-arm medium,India,Pradeep Sangwan,2011-Kolkata Knight Riders,Pace
1880,Jaydev Unadkat,2011,,Kolkata Knight Riders,"1,15,00,000",Bowler,Right Handed Bat,Left-arm medium,India,Jaydev Unadkat,2011-Kolkata Knight Riders,Pace
