Player,Sal Name,Bat_role2,bat_hand,bowl_hand,bowl_stype,bowl_type,nationality,overseas
R Bhatkal,Raju Bhatkal,Bowler, Right Handed Bat ,Right ,Medium,Pace,India,0
R Bhui,Ricky Bhui,Batsman, Right Handed Bat ,Left,Leg Break,Spin,India,0
R Bopara,Ravi Bopara,Batting Allrounder, Right Handed Bat ,Right ,Medium,Pace,England,1
R Chahar,Rahul Chahar,Bowler, Right Handed Bat ,Left,Leg Break,Spin,India,0
R Dhawan,Rishi Dhawan,Bowling Allrounder, Right Handed Bat ,Right ,Medium,Pace,India,0
R Dravid,Rahul Dravid,Batsman, Right Handed Bat ,Right ,Off Break,Spin,India,0
R Gomez,Raiphi Gomez,Batting Allrounder, Right Handed Bat ,Right ,Medium,Pace,India,0
R Harris,Ryan harris,Bowler, Right Handed Bat ,Right ,Fast,Pace,Australia,1
R Jadeja,Ravindra Jadeja,Bowling Allrounder, Left Handed Bat ,Left,Off Break,Spin,India,0
R Khan,Rashid Khan,Bowler, Right Handed Bat ,Right ,Leg Break,Spin,Afghanistan,1
R Levi,Richard Levi,Batsman, Right Handed Bat ,Right ,Medium,Pace,South Africa,1
R McLaren,Ryan Mclaren,Bowling Allrounder, Left Handed Bat ,Right ,Medium,Pace,South Africa,1
R More,Ronit More,Bowler, Right Handed Bat ,Right ,Medium,Pace,India,0
R Ninan,Ryan Ninan,Batting Allrounder, Right Handed Bat ,Right ,Off Break,Spin,India,0
R Pant,Rishabh Pant,WK-Batsman, Left Handed Bat ,0,0,0,India,0
R Parag,Riyan Parag,Batsman, Right Handed Bat ,Left,Leg Break,Spin,India,0
R Patel,Ripal Patel,Bowler, Right Handed Bat ,Right ,Medium,Pace,India,0
R Peterson,Robin Peterson,Bowling Allrounder, Left Handed Bat ,Left,Off Break,Spin,South Africa,1
R Ponting,Ricky Ponting,Batsman, Right Handed Bat ,Right ,Medium,Pace,Australia,1
R Powell,Rovman Powell,Batsman, Right Handed Bat ,Right ,Medium,Pace,West Indies,1
R Price,Ray Price,Bowler,0,Left,Off Break,Spin,Zimbabwe,1
R Rampaul,Ravi Rampaul,Bowler, Left Handed Bat ,Right ,Fast,Pace,West Indies,1
R Rossouw,Rilee Rossouw,Batsman, Left Handed Bat ,Right ,Off Break,Spin,South Africa,1
R Sathish,Rajagopal Sathish,Batsman, Right Handed Bat ,Right ,Medium,Pace,India,0
R Shepherd,Romario Shepherd,Bowling Allrounder, Right Handed Bat ,Right ,Fast,Pace,West Indies,1
R Shukla,Rahul Shukla,Batsman, Left Handed Bat ,Right ,Medium,Pace,India,0
R tenDoeschate,Ryan ten Doeschate,Batting Allrounder, Right Handed Bat ,Right ,Medium,Pace,Netherlands,1
R Tripathi,Rahul Tripathi,Batsman, Right Handed Bat ,Right ,Medium,Pace,India,0
R Uthappa,Robin Uthappa,WK-Batsman, Right Handed Bat ,Right ,Medium,Pace,India,0
R vanderMerwe,Roelof Van der Merwe,Bowling Allrounder, Right Handed Bat ,Left,Off Break,Spin,Netherlands,1
Ramandeep Singh,Ramandeep Singh,Batsman, Right Handed Bat ,Right ,Medium,Pace,India,0
Ravi Bishnoi,Ravi Bishnoi,Bowler, Right Handed Bat ,Left,Leg Break,Spin,India,0
RD Gaikwad,RutuRaj Gaikwad,Batsman, Right Handed Bat ,Right ,Off Break,Spin,India,0
RG Sharma,Rohit Sharma,Batsman, Right Handed Bat ,Right ,Off Break,Spin,India,0
RK Singh,Rinku Singh,Batsman, Left Handed Bat ,Right ,Off Break,Spin,India,0
RS Kishore,Sneha Kishore,Bowler,0,0,0,0,India,0
RS Yadav,Sanjay Yadav,Batting Allrounder, Left Handed Bat ,Left,Off Break,Spin,India,0
S Abbott,Sean Abbott,Bowler, Right Handed Bat ,Right ,Fast,Pace,Australia,1
S AlHasan,Shakib Al Hasan,Batting Allrounder, Left Handed Bat ,Left,Off Break,Spin,Bangladesh,1
S Anirudha,Anirudha Srikkanth,Batsman, Right Handed Bat ,0,0,0,India,0
S Asnodkar,Swapnil Asnodkar,Batting Allrounder, Right Handed Bat ,0,0,0,India,0
S Baby,Sachin Baby,Batsman, Left Handed Bat ,Right ,Off Break,Spin,India,0
S Badrinath,S Badrinath,Batsman, Right Handed Bat ,Right ,Off Break,Spin,India,0
S Billings,Sam billings,WK-Batsman, Right Handed Bat ,Left,Medium,Pace,India,0
S Binny,Stuart Binny,Batting Allrounder, Right Handed Bat ,Right ,Medium,Pace,India,0
S Boland,SM Boland,Bowler,0,Right ,Fast,Pace,Australia,1
S Chitnis,Siddharth Chitnis,Batsman, Right Handed Bat ,Right ,Off Break,Spin,India,0
S Cottrell,Sheldon Cottrell,Bowler, Right Handed Bat ,Left,Fast,Pace,West Indies,1
S Curran,Sam Curran,Bowling Allrounder, Left Handed Bat ,Left,Medium,Pace,England,1
S Dhawan,Shikhar Dhawan,Batsman, Left Handed Bat ,Right ,Off Break,Spin,India,0
S Dube,Shivam Dubey,Batting Allrounder, Left Handed Bat,Right ,Medium,Pace,India,0
S Ganguly,Sourav Ganguly,Batsman, Left Handed Bat ,Right ,Medium,Pace,India,0
S Gopal,Shreyas Gopal,Bowling Allrounder, Right Handed Bat ,Left,Leg Break,Spin,India,0
S Goswami,Shreevats Goswami,WK-Batsman, Left Handed Bat ,0,0,0,India,0
S Gupta,Sunny Gupta,Bowling Allrounder, Right Handed Bat ,Right ,Off Break,Spin,India,0
S Hetmyer,Shimron hetmyer,Batsman, Left Handed Bat ,Left,Leg Break,Spin,West Indies,1
S Iyer,Shreyas Iyer,Batsman, Right Handed Bat ,Left,Leg Break,Spin,India,0
S Jackson,Sheldon Jackson,WK-Batsman, Right Handed Bat ,0,0,0,India,0
S Khan,Sarfaraz Khan,Batsman, Right Handed Bat ,Left,Leg Break,Spin,India,0
S Lad,Siddhesh Lad,Batsman, Right Handed Bat ,Right ,Off Break,Spin,India,0
S Ladda,Sarabjit Ladda,Bowler,0,Left,Leg Break,Spin,India,0
S Marsh,Shaun Marsh,Batsman, Left Handed Bat ,Left,Off Break,Spin,Australia,1
S Midhun,Sudhesan Midhun,Bowler,0,Left,Leg Break,Spin,India,0
S Narine,Sunil Narine,Bowler, Left Handed Bat ,Right ,Off Break,Spin,West Indies,1
S Narwal,Sumit Narwal,Batting Allrounder, Left Handed Bat ,Right ,Medium,Pace,India,0
S Prabhudesai,Suyash Prabhudessai,Batting Allrounder, Right Handed Bat ,0,0,0,India,0
S Raina,Suresh Raina,Batsman, Left Handed Bat ,Right ,Off Break,Spin,India,0
S Rana,Sachin Rana,Batting Allrounder, Right Handed Bat ,Right ,Medium,Pace,India,0
S Randiv,Suraj Randiv,Bowler, Right Handed Bat ,Right ,Off Break,Spin,Sri Lanka,1
S Samson,Sanju Samson,WK-Batsman, Right Handed Bat ,0,0,0,India,0
S Senanayake,Sachithra Senanayake,Bowler, Right Handed Bat ,Right ,Off Break,Spin,Sri Lanka,1
S Singh,Sunny Singh,Bowling Allrounder, Right Handed Bat ,Right ,Medium,Pace,India,0
S Smith,Steven Smith,Batsman, Right Handed Bat ,Left,Leg Break,Spin,Australia,1
S Sohal,Sunny Sohal,Batsman, Right Handed Bat ,Left,Leg Break,Spin,India,0
S Sreesanth,Shanthakumaran Sreesanth,Bowler, Right Handed Bat ,Right ,Fast,Pace,India,0
S Sriram,Sridharan Sriram,Bowling Allrounder, Left Handed Bat ,Left,Off Break,Spin,India,0
S Srivastava,Shalabh Srivastava,Bowler, Right Handed Bat ,Left,Fast,Pace,India,0
S Styris,Scott Styris,Batting Allrounder, Right Handed Bat ,Right ,Medium,Pace,New Zealand,1
S Tendulkar,Sachin Tendulkar,Batsman, Right Handed Bat ,Right ,Off Break,Spin,India,0
S Thakur,Shardul Thakur,Bowler, Right Handed Bat ,Right ,Medium,Pace,India,0
S Tiwary,Saurabh Tiwary,Batsman, Left Handed Bat ,0,0,0,India,0
S Trivedi,Siddharth Trivedi,Bowler, Right Handed Bat ,Right ,Medium,Pace,India,0
S Wagh,Shrikant Wagh,Bowling Allrounder, Left Handed Bat ,Left,Medium,Pace,India,0
S Warne,Shane Warne,Bowler, Right Handed Bat ,Left,Leg Break,Spin,Australia,1
S Warrier,Sandeep Warrier,Bowler,0,Right ,Medium,Pace,India,0
S Watson,Shane Watson,Batting Allrounder, Right Handed Bat ,Right ,Fast,Pace,Australia,1
S Yadav,SuryaKumar Yadav,Batsman, Right Handed Bat ,Right ,Both,0,India,0
Shahbaz Ahmed,Shahbaz Ahamad,Bowling Allrounder, Left Handed Bat,Left,Off Break,Spin,India,0
Shashank Singh,Shashank Singh,Batting Allrounder, Right Handed Bat ,Right ,Off Break,Spin,India,0
Shubman Gill,Shubman Gill,Batsman, Right Handed Bat ,Right ,Off Break,Spin,India,0
Simarjeet Singh,Simarjeet Singh,Bowler, Right Handed Bat ,Right ,Fast,Pace,India,0
Swapnil Singh,Swapnil Singh,Bowling Allrounder, Right Handed Bat ,Left,Off Break,Spin,India,0
T Banton,Tom Banton,WK-Batsman, Right Handed Bat ,0,0,0,England,1
T Baroka,Tejas Baroka,Bowler,0,Left,Leg Break,Spin,India,0
T Birt,Travis Birt,Batsman, Left Handed Bat ,Right ,Medium,Pace,Australia,1
T Curran,Tom Curran,Bowling Allrounder, Right Handed Bat ,Right ,Fast,Pace,England,1
T David,Tim David,Batting Allrounder, Right Handed Bat ,0,0,0,Australia,1
T Dilshan,Tillakaratne Dilshan,Batting Allrounder, Right Handed Bat ,Right ,Off Break,Spin,Sri Lanka,1
T Head,Travis Head,Batting Allrounder, Left Handed Bat ,Right ,Off Break,Spin,Australia,1
T Mills,Tymal Mills,Bowler, Right Handed Bat ,Left,Fast,Pace,England,1
T Paine,Tim Paine,WK-Batsman, Right Handed Bat ,Right ,Medium,Pace,Australia,1
T Seifert,Tim Seifert,WK-Batsman, Right Handed Bat ,0,0,0,New Zealand,1
T Stubbs,T Stubbs,WK-Batsman, Right Handed Bat ,0,0,0,South Africa,1
T Sudhindra,TP Sudhindra,Bowler,0,Right ,Fast,Pace,India,0
T Suman,Tirumalasetti Suman,Batsman, Right Handed Bat ,Right ,Off Break,Spin,India,0
Tilak Varma,Tilak Varma,Batting Allrounder, Left Handed Bat ,Right ,Off Break,Spin,India,0
U Birla,Udit Birla,Batsman, Right Handed Bat ,Right ,Medium,Pace,India,0
U Chand,Unmukt Chand,Batsman, Right Handed Bat ,Right ,Off Break,Spin,India,0
U Khawaja,Usman Khawaja,Batsman, Left Handed Bat ,Right ,Medium,Pace,Australia,1
U Yadav,Umesh Yadav,Bowler, Right Handed Bat ,Right ,Fast,Pace,India,0
V Arora,Vaibhav Arora,Bowler, Right Handed Bat ,Right ,Fast,Pace,India,0
V Iyer,Venkatesh Iyer,Batting Allrounder, Left Handed Bat,Right ,Medium,Pace,India,0
V Kohli,Virat Kohli,Batsman, Right Handed Bat ,Right ,Medium,Pace,India,0
V Laxman,VVS Laxman,Batsman, Right Handed Bat ,Right ,Off Break,Spin,India,0
V PratapSingh,Veer Pratap Singh,Bowler, Right Handed Bat ,Right ,Medium,Pace,India,0
V Sehwag,Virender Sehwag,Batsman, Right Handed Bat ,Right ,Off Break,Spin,India,0
V Shankar,Vijay Shankar,Batting Allrounder, Right Handed Bat ,Right ,Medium,Pace,India,0
V Singh,Virat Singh,Batsman, Left Handed Bat ,Left,Leg Break,Spin,India,0
V Vinod,Vishnu Vinod,WK-Batsman, Right Handed Bat ,0,0,0,India,0
V Zol,Vijay Zol,Batsman, Left Handed Bat ,Right ,Off Break,Spin,India,0
W Hasaranga,Wanindu Hasaranga,Bowling Allrounder, Right Handed Bat ,Right ,Leg Break,Spin,Sri Lanka,1
W Parnell,Wayne Parnell,Bowling Allrounder, Left Handed Bat ,Left,Medium,Pace,South Africa,1
W Saha,Wriddhiman Saha,WK-Batsman, Right Handed Bat ,0,0,0,India,0
W Sundar,Washington Sundar,Batting Allrounder, Left Handed Bat ,Right ,Off Break,Spin,India,0
X ThalaivanSargunam,Thalaivan Sargunam,Batting Allrounder, Right Handed Bat ,Right ,Off Break,Spin,India,0
Y Dayal,Yash Dayal,Bowler, Right Handed Bat ,Left,Medium,Pace,India,0
Y GnaneswaraRao,Gnaneswara Rao,Batting Allrounder, Right Handed Bat ,Right ,Medium,Pace,India,0
Y Nagar,Yogesh Nagar,Batting Allrounder, Right Handed Bat ,Right ,Off Break,Spin,India,0
Y Pathan,Yusuf Pathan,Batting Allrounder, Right Handed Bat ,Right ,Off Break,Spin,India,0
Y Singh,Yuvraj Singh,Batting Allrounder, Left Handed Bat ,Left,Off Break,Spin,India,0
Y Takawale,Yogesh Takawale,WK-Batsman, Right Handed Bat ,0,0,0,India,0
Y VenugopalRao,Venugopal Rao,Batsman, Right Handed Bat ,Right ,Off Break,Spin,India,0
Z Khan,Zaheer Khan,Bowler, Right Handed Bat ,Left,Fast,Pace,India,0
