Player,Sal Name,Bat_role2,bat_hand,bowl_hand,bowl_stype,bowl_type,nationality,overseas
D Conway,Devon Conway,WK-Batsman, Left Handed Bat ,Right ,Medium,Pace,New Zealand,1
D Das,Debabrata Das,Batsman, Right Handed Bat ,Left,Leg Break,Spin,India,0
D Harris,Daniel Harris,Batting Allrounder, Right Handed Bat ,Right ,Medium,Pace,West Indies,1
D Hooda,Deepak Hooda,Batting Allrounder, Right Handed Bat ,Right ,Off Break,Spin,India,0
D Hussey,David Hussey,Batting Allrounder, Right Handed Bat ,Right ,Off Break,Spin,Australia,1
D Jacobs,Davy Jacobs,WK-Batsman, Right Handed Bat ,Right ,Medium,Pace,South Africa,1
D Jayawardene,Mahela Jayawardene,Batsman, Right Handed Bat ,Right ,Medium,Pace,Sri Lanka,1
D Malan,Dawid Malan,Batsman, Left Handed Bat,0,0,0,England,1
D Miller,David Miller,Batsman, Left Handed Bat ,Right ,Off Break,Spin,South Africa,1
D Muthuswami,Domnic Joseph,Bowler, Right Handed Bat ,Right ,Medium,Pace,India,0
D Nannes,Dirk Nannes,Bowler,0,Left,Fast,Pace,Australia,1
D Padikkal,Devdutt Padikkal,Batsman, Left Handed Bat,Right ,Off Break,Spin,India,0
D Pretorius,Dwaine Pretorius,Bowling Allrounder, Right Handed Bat ,Right ,Fast,Pace,South Africa,1
D RaviTeja,Dwaraka Ravi Teja,Batsman, Right Handed Bat ,Left,Leg Break,Spin,India,0
D Sammy,Darren Sammy,Batting Allrounder, Right Handed Bat ,Right ,Medium,Pace,West Indies,1
D Shorey,Dhruv Shorey,Batsman, Right Handed Bat ,Right ,Off Break,Spin,India,0
D Short,D'Arcy Short,Batsman, Left Handed Bat,Left,Off Break,Spin,Australia,1
D Smith,Dwayne Smith,Batting Allrounder, Right Handed Bat ,Right ,Medium,Pace,West Indies,1
D Vettori,Daniel Vettori,Bowling Allrounder, Left Handed Bat ,Left,Off Break,Spin,New Zealand,1
D Warner,David Warner,Batsman, Left Handed Bat ,Left,Leg Break,Spin,Australia,1
D Wiese,David Wiese,Batting Allrounder, Right Handed Bat ,Right ,Medium,Pace,South Africa,1
D Willey,David Willey,Bowling Allrounder, Left Handed Bat ,Left,Fast,Pace,England,1
D Yagnik,Dishant Yagnik,WK-Batsman, Left Handed Bat ,0,0,0,India,0
DG Nalkande,Darshan Nalkande,Bowler,0,Right ,Fast,Pace,India,0
DJ Mitchell,Daryl Mitchell,Bowling Allrounder, Right Handed Bat ,Right ,Medium,Pace,New Zealand,1
